"id";"symbol";"price";"time"
435;"SANDUSDT";2.00327;1652138541032
436;"EGLDUSDT";38.0;1655132659748
437;"FTTUSDT";25.516;1655136775963
438;"ETHBUSD";3258.5;1642801030236
439;"FLMUSDT";0.1289;1655136794628
440;"JASMYUSDT";0.00947;1655136794403
441;"BNXUSDT";124.44;1655133945498
442;"ADABUSD";0.4354;1655124833529
443;"MKRUSDT";805.0;1655136801681
444;"GALAUSDT";0.0549;1655132718067
445;"GMTUSDT";0.5984;1655136730830
446;"SOLBUSD";148.86;1642376011120
447;"VETUSDT";0.02478;1655136775226
448;"FLOWUSDT";1.687;1655136794297
449;"DOTBUSD";6.998;1655136676442
450;"API3USDT";1.023;1655132162821
451;"FILUSDT";5.264;1655136775494
452;"1000SHIBUSDT";0.007812;1655136802116
453;"OMGUSDT";1.915;1655136793891
454;"IOSTUSDT";0.013784;1655136796588
455;"KLAYUSDT";0.256;1655136770803
456;"AVAXUSDT";16.5;1655136787368
457;"ANKRUSDT";0.0255;1655131836045
458;"GALUSDT";3.0125;1655136008673
459;"BNTUSDT";3.188;1642378592545
460;"ANCBUSD";0.1103;1655136205308
461;"LITUSDT";0.8;1655132672567
462;"NEARUSDT";3.532;1655136796741
463;"ETHUSDT_220624";1252.71;1655136787828
464;"KNCUSDT";1.309;1655136787228
465;"ADAUSDT";0.4607;1655136800485
466;"BTCBUSD";23924.11;1655136803207
467;"KAVAUSDT";1.6901;1655136794319
468;"GALABUSD";0.057965;1655136529023
469;"SNXUSDT";1.898;1655136794014
470;"MANAUSDT";1.577;1652063178029
471;"CELRUSDT";0.01794;1653462393601
472;"DOTUSDT";13.489;1652090488025
473;"DYDXUSDT";6.334;1649264674015
474;"LUNA2BUSD";2.3908;1655126313412
475;"1000LUNCBUSD";0.055;1655111302022
476;"BANDUSDT";1.3008;1655136787274
477;"STORJUSDT";0.3601;1655136775277
478;"RAYUSDT";0.654;1655136286504
479;"PEOPLEUSDT";0.01855;1655136664955
480;"ETCUSDT";14.562;1655136523658
481;"BTCUSDT";23966.9;1655136801606
482;"BAKEUSDT";0.8652;1651269217040
483;"GALBUSD";2.71;1655121574170
484;"TOMOUSDT";0.438;1655136801869
485;"UNIUSDT";3.764;1655136775352
486;"THETAUSDT";3.986;1651338960023
487;"LRCUSDT";0.3855;1655136796793
488;"GRTUSDT";0.56005;1642836576213
489;"XEMUSDT";0.1021;1652334167063
490;"XLMUSDT";0.1075;1655136787067
491;"LINAUSDT";0.00843;1655136802069
492;"HNTUSDT";8.596;1655136787415
493;"ALGOUSDT";0.3135;1655136801538
494;"HBARUSDT";0.1;1655100279015
495;"ZECUSDT";67.88;1655136803489
496;"OGNUSDT";0.2045;1655136775807
497;"ZENUSDT";13.965;1655136781712
498;"NEOUSDT";21.982;1651899509061
499;"SRMUSDT";2.86;1645574401904
500;"MATICUSDT";1.152;1655100424046
501;"XRPUSDT";0.3239;1655136801304
502;"C98USDT";0.435;1655133286803
503;"ETHBUSD";3258.5;1642801030236
504;"ONTUSDT";0.2165;1655136787183
505;"CHZUSDT";0.09525;1655136801964
506;"1000LUNCBUSD";0.055;1655111302022
507;"FLOWUSDT";1.687;1655136794297
508;"SOLUSDT";28.12;1655136794579
509;"RVNUSDT";0.08283;1649636539018
510;"FLMUSDT";0.1289;1655136794628
511;"SCUSDT";0.003656;1655136799950
512;"DARUSDT";0.2774;1655132616519
513;"BTCDOMUSDT";1769.1;1655125234623
514;"IMXUSDT";0.7177;1655136787691
515;"ALPHAUSDT";0.5009;1652329330016
516;"1000XECUSDT";0.03939;1655136638009
517;"SOLBUSD";148.86;1642376011120
518;"DOTUSDT";13.489;1652090488025
519;"CELRUSDT";0.01794;1653462393601
520;"KLAYUSDT";0.256;1655136770803
521;"CTKUSDT";1.241;1652272371028
522;"SKLUSDT";0.05168;1655136801916
523;"DUSKUSDT";0.14297;1655136802354
524;"BATUSDT";0.2744;1655136794226
525;"TLMBUSD";0.02375;1655136689748
526;"MASKUSDT";1.295;1655136797121
527;"SXPUSDT";0.3418;1655136793961
528;"VETUSDT";0.02466;1655136805709
529;"UNIUSDT";3.772;1655136805829
530;"PEOPLEUSDT";0.01855;1655136664955
531;"GALBUSD";2.71;1655121574170
532;"GMTUSDT";0.5984;1655136730830
533;"ETCUSDT";14.562;1655136523658
534;"CHRUSDT";0.1745;1652273457064
535;"BNBBUSD";216.0;1655128914622
536;"AAVEUSDT";158.0;1645719204391
537;"HNTUSDT";8.596;1655136787415
538;"LTCUSDT";44.62;1655136803560
539;"ATAUSDT";0.1487;1655135243253
540;"LPTUSDT";32.122;1642801648245
541;"ARPAUSDT";0.02812;1655136752029
542;"MKRUSDT";805.0;1655136801681
543;"RLCUSDT";0.7124;1655136787322
544;"ICPBUSD";5.468;1655132774377
545;"XMRUSDT";143.78;1655136803626
546;"EOSUSDT";0.914;1655136801368
547;"DENTUSDT";0.000935;1655136794814
548;"ETHUSDT_220624";1252.71;1655136787828
549;"SNXUSDT";1.898;1655136794014
550;"RAYUSDT";0.654;1655136286504
551;"ALGOUSDT";0.3135;1655136801538
552;"FTMBUSD";0.2325;1655136802729
553;"BTCSTUSDT";316.1;1615445516575
554;"BCHUSDT";135.48;1655136803634
555;"GTCUSDT";7.5;1645574401905
556;"AXSUSDT";13.38;1655136796955
557;"ANCBUSD";0.1103;1655136205308
558;"LRCUSDT";0.3855;1655136796793
559;"XRPBUSD";0.7656;1645195272063
560;"YFIUSDT";5085.9;1655136794483
561;"OCEANUSDT";0.20136;1655136794065
562;"DGBUSDT";0.02812;1650239020073
563;"ADABUSD";0.4354;1655124833529
564;"ANKRUSDT";0.0255;1655131836045
565;"FILUSDT";5.368;1655136805931
566;"TRBUSDT";30.11;1642403940321
567;"GALAUSDT";0.0549;1655132718067
568;"QTUMUSDT";2.808;1655136794272
569;"ENSUSDT";24.819;1645574401903
570;"ARUSDT";34.15;1652111373067
571;"STORJUSDT";0.3748;1655136805776
572;"SRMUSDT";2.86;1645574401904
573;"DODOBUSD";0.1369;1655135986511
574;"C98USDT";0.435;1655133286803
575;"APEBUSD";3.35;1655133126415
576;"ETHUSDT";1264.18;1655136805159
577;"GALABUSD";0.057965;1655136529023
578;"REEFUSDT";0.003309;1655136787553
579;"NEARBUSD";3.526;1655136802592
580;"ICXUSDT";1.0288;1642392702068
581;"HBARUSDT";0.1;1655100279015
582;"TRXUSDT";0.06687;1655136805756
583;"RUNEUSDT";6.567;1647477317104
584;"BLZUSDT";0.16902;1651978495064
585;"IOTXUSDT";0.02511;1655136802164
586;"BANDUSDT";1.3008;1655136787274
587;"1INCHUSDT";0.606;1655136794720
588;"LUNA2BUSD";2.3908;1655126313412
589;"NEOUSDT";21.982;1651899509061
590;"NKNUSDT";0.244;1652273268065
591;"DOTBUSD";6.998;1655136676442
592;"AUDIOUSDT";0.2968;1655136794967
593;"UNFIUSDT";4.35;1655135259836
594;"CRVUSDT";4.598;1652475702025
595;"XLMUSDT";0.1075;1655136787067
596;"AVAXBUSD";15.83;1655135986462
597;"BNBUSDT";230.638;1655136803006
598;"FTMUSDT";0.2326;1655136796690
599;"BAKEUSDT";0.8652;1651269217040
600;"GALUSDT";3.0125;1655136008673
601;"ANTUSDT";1.227;1655134083535
602;"AVAXUSDT";16.5;1655136787368
603;"MTLUSDT";1.6198;1655136806180
604;"WOOUSDT";0.13192;1655136698260
605;"API3USDT";1.023;1655132162821
606;"DOGEBUSD";0.177;1642578366157
607;"ZRXUSDT";0.2473;1655136801634
608;"XTZUSDT";1.456;1655136796536
609;"ZECUSDT";67.88;1655136803489
610;"BNXUSDT";124.44;1655133945498
611;"XEMUSDT";0.1021;1652334167063
612;"XRPUSDT";0.3239;1655136801304
613;"DOGEUSDT";0.056;1655136796639
614;"COTIUSDT";0.08992;1655135998800
615;"DYDXUSDT";6.334;1649264674015
616;"ZENUSDT";13.558;1655136805982
617;"OGNUSDT";0.2059;1655136806275
618;"STMXUSDT";0.00625;1655136225501
619;"SANDUSDT";2.00327;1652138541032
620;"ADAUSDT";0.4607;1655136806688
621;"CVCUSDT";0.13626;1655136796844
622;"IOSTUSDT";0.013784;1655136796588
623;"OPUSDT";0.5858;1655136806684
624;"CELOUSDT";0.914;1655136795013
625;"TRXBUSD";0.062458;1655133325348
626;"DEFIUSDT";555.3;1655136794434
627;"LINKUSDT";5.872;1655136751327
628;"BALUSDT";4.995;1655136794531
629;"TOMOUSDT";0.438;1655136801869
630;"BTCUSDT_220624";27530.7;1655136802450
631;"THETAUSDT";3.986;1651338960023
632;"SFPUSDT";0.9765;1652273549287
633;"JASMYUSDT";0.00947;1655136794403
634;"FTTBUSD";25.152;1655136638687
635;"HOTUSDT";0.002048;1655136806131
636;"BELUSDT";1.1504;1651356233017
637;"MANAUSDT";1.577;1652063178029
638;"ZILUSDT";0.03361;1655136801586
